"observing","describing","accepting","acting","age","bsex"
3.9,3,3.7,2.7,38,"female"
3.8,2.9,4.6,3.8,26,"male"
5,3.5,1.7,2.8,53,"female"
3.5,3,3.9,3,56,"male"
3.7,3.3,4,3.3,18,"male"
3.2,3.1,3.3,4,34,"male"
3.9,2.9,1.7,2.4,70,"female"
3,2.9,3.1,3.4,24,"female"
3.6,3,2.2,3,31,"male"
3.1,3,4.1,3,43,"male"
4.7,3.8,3.6,3.3,15,"male"
3.5,3.1,4.1,3.4,31,"female"
3.6,3.3,2.8,2.9,19,"male"
4.7,3,2.6,3.1,28,"male"
4.5,3.5,1.1,3.1,24,"male"
3.3,2.8,1.3,2.7,85,"male"
3.8,3,2.8,3.3,45,"male"
3.3,2.9,4.3,3.8,54,"female"
4.3,3.4,3.3,2.9,15,"female"
5,5,5,5,24,"female"
3.9,2.9,1.1,2.6,70,"female"
4.3,3.4,3,3.4,41,"female"
4,3.3,3.3,3.2,24,"male"
2.5,3.3,4.1,3.7,44,"female"
3.7,3,3.1,3,33,"male"
3.5,2.6,2.9,3,30,"female"
2.2,2.8,3.8,3.8,49,"male"
4.1,2.8,3.8,3.6,35,"male"
4.7,3.4,4.1,3,53,"female"
2.7,3,2.3,2.9,49,"male"
2.7,2.6,2.1,2.9,39,"male"
3.7,3.6,2.9,2.9,26,"female"
3.4,3.4,2.7,3.5,27,"male"
2.3,2.9,4.7,3.1,17,"female"
3,3.3,3.4,3.1,21,"male"
3.5,3.1,3,3.3,36,"male"
4.6,2.3,4.1,3.6,59,"male"
3.4,3.3,3.3,3.3,23,"male"
3.1,2.9,1.2,2.5,59,"female"
3.8,3.1,3.9,2.9,34,"female"
2.8,3.6,3.4,3.2,50,"female"
3.1,2.4,3,3.6,47,"male"
2.5,2.8,1.9,3.5,44,"female"
2.9,2.9,4,3.4,32,"male"
4,3.3,1.9,3,26,"female"
3.2,3,3.2,3.8,28,"male"
4.5,3.4,3,3.8,40,"male"
3.3,3,2.6,2.2,49,"male"
3.1,2.8,4.7,3.5,25,"male"
4.7,3.8,2.8,3.9,31,"female"
3.4,3.3,3,2.4,18,"male"
4.1,3.3,1.7,3.4,44,"male"
3.8,3.3,3.4,3.5,15,"male"
3.5,3.3,2.1,3.5,40,"female"
4.5,3.6,1.6,3.5,49,"female"
3.5,3.3,3.9,3.3,46,"female"
3.4,2.6,2.6,2.6,26,"male"
3.2,2.8,3.6,3.4,19,"female"
4.1,3.4,4.6,4.2,26,"female"
4.2,3.4,3,3.2,44,"male"
2.9,3.1,3.1,3.1,29,"male"
3.5,3,2,3.2,35,"female"
3.8,3.3,2.4,3.2,24,"female"
3.8,3,2.2,3,59,"female"
2.8,3.5,1.7,3.5,56,"male"
2.6,2.3,2.6,3.1,32,"male"
3.3,2.6,1.4,3.1,53,"male"
3,2.8,2.8,3.4,36,"male"
5,3.4,3.1,2.5,23,"male"
3.1,3.1,2.3,3,59,"male"
2.7,2.6,2.8,3.5,57,"male"
2.9,3,1.3,2.8,34,"female"
2.8,2.9,2.3,3,62,"male"
3.5,3.5,5,4.2,46,"male"
3.7,3,3.8,3,44,"male"
3.8,3.5,4.6,2.6,39,"male"
3.2,3.4,3.1,3.1,62,"male"
4.4,3.3,4.1,2.6,34,"male"
3.8,3.3,3.8,3.7,22,"female"
3.7,3.1,1.3,2.9,44,"female"
3.2,2.5,2.4,3,48,"female"
3.4,2.9,1.7,3.3,65,"female"
4.2,3.8,4,3.8,51,"male"
4.2,3.5,3.1,2.8,21,"male"
4.5,3.6,1.4,3.1,29,"male"
2.5,2.8,3.8,3.3,61,"female"
3.4,2.6,3.4,2.8,20,"male"
3.2,2.9,3.8,3.6,44,"female"
3.5,3.3,2.9,2.9,35,"female"
2.9,3.1,2.7,3,25,"male"
4,3.5,1.7,3.9,30,"female"
4.5,3.1,3.8,3.1,23,"male"
3.4,3.1,1.9,3.4,45,"male"
2.9,2.6,4.3,3.3,50,"female"
3.6,3.9,4.6,3.8,37,"female"
4,2.9,1.8,3.3,49,"female"
3.6,3,1.9,2.7,28,"female"
3.3,3.4,3.4,3.3,55,"female"
4.5,5,5,5,50,"male"
1.2,1.4,1.4,1.3,40,"male"
3.4,2.4,3.6,3.5,57,"female"
2.5,2.6,4.6,3.8,39,"male"
2.3,2.9,3.6,3.8,54,"female"
2.6,2.9,4.7,3.7,42,"female"
3.3,3.4,4.3,3.2,41,"female"
4.6,3.5,3.2,2.9,59,"male"
3.2,3,3.7,3.4,19,"female"
4.4,3.4,2.7,2.8,41,"female"
3.2,2.6,2.6,3.3,19,"female"
2.8,2.5,3.2,2.9,34,"female"
4.6,3.5,1.3,3.8,65,"female"
4.1,3.5,3.2,3.4,18,"male"
4.1,3.4,1.8,3.2,48,"female"
3.5,3.6,3.1,2.6,59,"male"
3,3.3,2.3,3.2,52,"female"
3.4,2.6,2.6,2.5,23,"female"
3.5,3.1,3.1,3.4,61,"female"
3.8,3,3.8,3.4,50,"female"
2.5,2.4,3.8,3.3,17,"female"
3,3,4.4,3.5,41,"female"
4.1,3.4,2.8,3.7,61,"male"
3.4,2.4,3,2.8,19,"female"
3.2,3,3,2.8,65,"male"
3.5,3.5,3,3.5,49,"female"
2.5,2.4,2.2,2.8,34,"male"
3.8,3.6,3.3,3.4,57,"female"
2.5,3.6,1.3,2.9,79,"male"
4,3.5,4.8,3.2,32,"female"
4.6,3.3,1.3,3.6,48,"female"
2.7,2.9,3.1,3.2,39,"male"
4.5,3.5,4.7,3.7,31,"female"
3.8,3.5,3.2,3.1,55,"male"
3.5,3,3.2,3.3,72,"female"
3,3.1,2.1,3.5,36,"female"
4.5,3.9,2.2,3,36,"female"
2.4,3.4,3.7,3.5,17,"male"
3.2,3.9,1.9,3,63,"male"
4.5,3.3,2,3.2,61,"male"
3.8,3.5,1.6,2.7,53,"female"
3.9,3,4.1,3.2,26,"male"
3.4,2.9,1.6,3.1,50,"female"
4.1,3.1,2.3,3.3,69,"female"
3.6,2.8,3,3,45,"female"
3.5,2.9,2.9,2.8,61,"female"
4.9,3.5,2.2,2.8,30,"female"
3.4,3.3,3.9,3,37,"female"
3.8,3.3,2.3,3.2,29,"female"
4,3.4,2,3.3,39,"female"
2.6,3.3,3.7,3.9,19,"female"
2.9,2.5,1.4,3.1,29,"female"
3.6,3.8,1.6,3.1,55,"female"
3.5,3.9,2.4,3.6,25,"female"
2.7,3.5,2.6,3.8,21,"female"
3.6,3.4,5,3.5,36,"female"
3.5,2.6,2.6,3.4,20,"female"
4,3.5,3.1,2.5,32,"female"
3,3.1,2.9,3,53,"male"
4.1,3.4,2.4,2.1,32,"male"
3.3,3.3,4.1,3.8,48,"male"
3.5,3.5,3.2,2.8,25,"female"
3.3,3,2.1,3.2,46,"female"
4.1,3.8,4.1,4.1,48,"female"
3.8,3,3.4,4.5,58,"female"
2.1,3.5,1.9,2.9,29,"male"
4.5,2.9,2.6,3.2,20,"male"
3.5,3.4,1.9,3.3,21,"male"
4.7,3.5,3.1,3.2,46,"female"
2.1,3,3.4,3.1,35,"male"
4.1,3.3,3.4,3.3,35,"male"
4,3,3,2.7,26,"female"
4.3,3.5,2.9,3.2,36,"female"
2.1,3.1,2.9,3.2,30,"male"
3.6,3.3,3.4,3.5,23,"female"
3,3.5,2,2.6,31,"female"
3.6,2.5,4.8,3.4,17,"female"
2.7,3.4,4.6,3.4,24,"male"
3.5,2.9,3.7,2.8,33,"male"
3.5,3.1,3.3,2.6,32,"male"
4.2,3.4,4.4,2.7,19,"male"
3.8,3.4,1.9,2.9,43,"female"
2.3,2.9,3.3,3.2,48,"male"
4.8,3,1.4,2,41,"female"
3.9,3.1,1.2,2.6,53,"male"
3.5,3.1,2.3,3.1,33,"male"
2.4,3,1.9,1.8,51,"female"
3.2,3.3,4.3,3.1,26,"female"
4.5,3,2.2,3.2,42,"female"
3.9,3,1.3,3.3,44,"female"
3.2,3.4,1.4,3,51,"male"
3.7,3.3,1.9,2.5,59,"male"
3.2,3.5,1.4,2.9,42,"female"
2.8,2.8,1.9,3.4,40,"male"
3.5,2.9,2.7,3.3,34,"female"
3.6,2.8,2.2,3,54,"male"
4.3,3.3,2.3,3.6,54,"male"
2.7,2.8,2.2,3.4,49,"male"
2.6,2.4,2.1,3.7,53,"male"
2.8,3.5,2,3.4,51,"female"
4.2,3,2.4,3.2,55,"male"
3.7,3,4.9,4,17,"female"
4.1,3.1,4,3.4,23,"male"
3.8,3.3,2.8,3.5,66,"male"
3.4,3,3.1,3.1,58,"female"
4.1,3.1,1.2,2.7,60,"female"
3.3,3.3,3.1,3,25,"male"
2.8,3.1,3.2,2.9,61,"male"
4.9,3.5,2.8,3.1,23,"male"
3.8,3.3,4.3,3.7,19,"male"
2.8,3,3.1,3.7,55,"female"
3.5,3.4,2,3.6,50,"female"
3.3,2,3.4,3.3,24,"male"
3.6,3,2.1,2.7,47,"male"
2.6,2.8,1.7,3.4,17,"male"
4.2,3.6,3,2.8,24,"female"
3.9,3,2.7,3.3,27,"female"
2.3,2.4,3.2,2.1,44,"male"
2.7,2.9,3.4,3.8,43,"male"
3.6,3,2.3,2.6,57,"male"
2.9,3.3,3.1,3.2,63,"male"
3.3,3.4,3.3,3.5,57,"female"
3.8,3.4,2.9,3.4,51,"male"
4.3,3.6,1.6,2.8,37,"female"
3.9,2.9,1.4,2.8,58,"female"
3.3,2.6,2.2,3.5,42,"male"
2.8,3,3.6,2.9,20,"female"
3.7,3,4.6,3.5,64,"male"
3.3,3.1,2.4,3.4,66,"male"
3.1,3.1,3.6,3.7,69,"female"
4.2,3.1,3,2.9,37,"male"
3.9,3.6,3.4,3.7,48,"female"
4,3.4,3.7,3.9,43,"female"
4,2.8,4,3.2,32,"female"
3.6,3,2.4,2.7,61,"male"
3.7,3.4,1.9,2.8,61,"male"
3.8,3.8,2.6,3.5,49,"female"
3.9,3.3,1.8,3.1,66,"female"
2.6,3,2.6,3.1,28,"male"
3,3,2.7,3.1,53,"female"
3.5,3.1,3.8,3.2,42,"male"
3.5,2.9,2.9,3.3,60,"female"
3.9,3.3,4.4,3.4,35,"female"
3.5,3.3,3.2,3,21,"male"
4.5,2.4,4.3,2.9,50,"male"
3.2,3.9,3,2.2,21,"male"
3.3,2.8,2.8,3,34,"male"
2.5,3.4,4.2,3,53,"male"
2.5,3.3,3.3,3.9,35,"female"
2.4,2.8,1.6,3.2,62,"female"
4.7,3.5,1.9,3,28,"female"
3.4,3.1,3,2.9,50,"female"
3.5,2.6,1.7,2.9,59,"male"
4.1,2.9,3.2,3.4,29,"male"
4.2,3.3,3,3.3,18,"male"
2.9,3,3.2,3.1,24,"female"
3,3.1,3.8,4.5,20,"female"
3,2.8,3.4,3.3,28,"female"
3.5,3,2.1,3.1,59,"male"
4.2,2.8,1.6,2.7,23,"male"
4.1,3.5,2.9,3.2,25,"male"
3.5,2.9,2,2.6,57,"male"
3.5,3,4.1,3.6,36,"female"
4.3,3.5,1.9,3.4,18,"male"
2.5,3.3,5,3.8,36,"female"
4.4,3,1.9,2.8,28,"female"
3.8,3.6,2.9,3.6,32,"male"
4.1,2.6,4.3,2.7,31,"female"
3.6,3.5,1.8,2.9,73,"male"
3.2,3.1,1.6,3.5,59,"female"
3.2,3,2.2,3.9,23,"male"
3.9,3.1,2.4,3.8,51,"female"
4.3,3.9,2.9,3.9,42,"female"
3.7,3.3,3,3,19,"male"
3.6,3.4,2.4,3.2,47,"male"
3.8,3.3,2.4,2.9,19,"female"
2.8,3.1,3.8,3.4,40,"female"
4.7,2.4,2.8,3.3,55,"male"
4.2,3.3,2,2.9,24,"male"
4.2,3.4,2.1,3,37,"male"
3.1,3,3.9,3.3,29,"female"
3.7,3.8,4.4,4.1,39,"female"
3.5,3.5,3.7,3.4,30,"male"
3.5,3.4,4,2.6,35,"female"
3.5,3.4,2.3,2.4,41,"male"
3.9,3,2.6,3.1,20,"male"
3.3,3.1,1.4,2.9,39,"male"
4,3.1,2.4,2.8,68,"female"
3.5,3.6,4.6,4.1,41,"female"
3.7,3.3,3.9,3.9,37,"male"
3.8,3,3.1,3.5,41,"female"
4.1,3.8,2,3.4,30,"female"
3.4,3.1,2.1,2.8,36,"male"
3.5,2.9,3,3,20,"male"
3.5,3.1,2.4,1.8,32,"female"
3.8,3.8,3.3,3.3,63,"female"
3.1,3.1,2.7,2.7,42,"female"
4.8,3.5,3.2,3.8,25,"female"
3.6,2.8,3.1,3.2,22,"female"
3.8,3.4,2.7,3.4,57,"male"
4.4,3.5,1.8,2.7,24,"male"
3.1,3.1,4.2,3.3,61,"female"
3.9,3.3,3,3,54,"female"
3.7,3.4,2,2.7,61,"female"
4.1,3.1,1.7,3.8,32,"female"
3.8,3.4,4.4,3.8,16,"male"
3.8,2.9,2.4,3.7,44,"male"
2.9,2.9,4.7,4.1,25,"male"
2.9,3.3,2.1,2.9,44,"female"
3.9,2.5,1.1,2.8,45,"female"
3.4,3.4,4.3,3.5,21,"female"
1.9,2.6,3,3.1,35,"male"
3.9,3.1,3.7,3.1,24,"male"
3.5,3.5,2.1,3,53,"female"
3.9,3.5,3.1,3.2,60,"male"
4.1,3.3,4,2.9,24,"male"
3,3.1,2.9,2.7,39,"male"
3.3,2.8,2.7,3.2,25,"male"
4.5,3.6,2.7,3.1,53,"female"
3.1,3.8,2.9,3.1,63,"female"
4.5,2.9,3.2,3.1,22,"male"
2.9,3,3.3,3.1,34,"female"
3.6,3.1,3.7,3.8,39,"male"
3.5,3.1,3.6,3.2,36,"male"
2.2,2.5,1.7,3.5,48,"male"
3.1,3.1,4.2,3.1,16,"male"
3.9,3.3,3.9,4.2,35,"male"
4.1,3,4,3.3,17,"male"
3.3,2.3,2.8,3.2,28,"female"
3.7,4.4,3.9,4.1,73,"male"
3.5,3.4,2.4,3,18,"male"
3,3.6,2.8,3.3,34,"female"
2.4,4.1,4.7,3.4,18,"male"
4,3.5,1.6,3.3,57,"female"
3.3,3.3,3,3.3,74,"female"
3.6,2.9,2,2.4,59,"male"
4.1,3.8,4.7,3.7,33,"male"
3.5,2,3.9,3.2,37,"male"
4.4,3.5,3,3.4,27,"female"
1.5,2.5,2.1,3.4,24,"male"
4.4,3,3.6,3.7,15,"female"
3.7,2.9,3.6,3.3,40,"male"
2.5,2.8,3.2,3.6,49,"female"
3.1,3.5,4.8,3.9,41,"female"
2.1,3.3,4.8,4,27,"male"
4.1,3,2.4,2.9,27,"male"
3.3,2.6,2.1,2.7,34,"female"
3.1,3.3,3.3,3,26,"female"
2.4,3.1,2.7,3.6,21,"female"
3.8,3.4,3.4,3.4,45,"female"
4.1,3,2.6,2.8,17,"female"
2.5,3.4,3.6,3.1,22,"female"
4,3.4,1.2,3,40,"female"
4.4,3.6,4.2,2.6,25,"female"
2.5,3.5,1.9,3.2,35,"male"
4.7,3.1,2.2,3,19,"female"
3.4,3.4,2.4,3.2,56,"female"
4.8,4,3.8,3.9,36,"male"
3.6,3.5,4,3.7,42,"female"
3.4,3.3,2.9,3.2,56,"female"
3.3,3.1,2.9,3.2,64,"male"
4,3.4,1.7,2.7,29,"female"
1.7,2.6,1.1,3.3,26,"male"
4.6,2.9,1.8,3.9,37,"female"
4.1,3.3,3.6,3.1,18,"male"
3.3,2.9,4.1,3.3,16,"male"
1.7,3,4.9,3.1,25,"male"
2.5,2.5,3.6,3.4,51,"male"
3,3.5,3.3,3.4,49,"female"
4.5,3.3,4.3,3.4,24,"female"
4.3,3.6,3.8,2.7,27,"male"
3.4,3,2.4,2.7,32,"female"
3.1,3.5,4.9,3.3,66,"female"
3.4,3.3,2.4,2.8,62,"male"
3.9,3.3,2.2,2.4,69,"male"
3,3.1,3.1,3.8,26,"male"
3,2.6,2.7,3.6,20,"male"
4.3,3.1,2.7,3.1,31,"female"
4.1,3.8,2.4,3.3,38,"female"
4.2,3.5,1.7,3.3,60,"female"
2.5,2.8,3,3,39,"male"
3.5,3.1,2.4,3.2,61,"female"
3.8,2.5,1.7,3.4,63,"male"
4.5,3,4.3,3.5,25,"female"
4.2,3.1,2.7,3,28,"female"
2.7,2.9,3.4,3.2,53,"female"
3.5,3.1,2.8,2.7,32,"male"
2.6,3.3,4,3.6,31,"female"
2.9,3.1,5,3.2,19,"female"
2.2,3.5,3.6,3,27,"female"
3.6,2.8,3.1,3.1,27,"female"
4,2.3,4.3,3.4,24,"male"
4.1,2.5,2.3,3.5,28,"male"
4.5,3.8,4,3.5,63,"female"
3.8,3,1.8,2.8,40,"male"
2.7,3.1,3.7,3.3,20,"male"
4.4,3.1,3.3,3.1,19,"male"
4.2,3.5,2.6,2.5,22,"female"
3.4,3.1,2.1,2.8,65,"male"
2.7,2.8,4.2,3.8,39,"female"
4.3,3.3,4.3,3.2,16,"female"
3.7,3.4,2.4,3.5,20,"male"
2.5,2.9,4,3.3,34,"female"
3.2,3.8,2.1,3.1,55,"male"
3.6,3.9,2.2,3.4,42,"female"
4.5,3.4,1.2,3.2,61,"female"
4,3.3,2,3.1,37,"female"
4,3.4,1.9,3.1,39,"female"
4.4,3,2.2,3.2,50,"female"
3.8,3.5,1.2,2.7,69,"female"
4,2.8,3,3.1,36,"male"
4.3,3.3,4.4,3.8,28,"female"
4,3.3,3.6,2.9,30,"male"
3.6,3.4,3.4,3.1,51,"female"
4.5,3.3,1.2,3.1,53,"male"
4.3,2.8,2.2,3.3,51,"male"
3.5,3.1,4.3,3.5,22,"female"
3.2,2.9,4,3.2,24,"male"
4.4,3.9,4,3.5,27,"male"
4.1,4.1,4.8,2.9,18,"female"
4.4,3,3.4,2.9,29,"male"
3.6,2.6,2.2,2.3,44,"male"
3.9,3.3,2.1,3.5,61,"male"
2.7,3,2.3,3.1,63,"female"
4,3.1,3.6,3.8,32,"male"
2.2,2.8,1.8,3.2,49,"female"
3,3.1,2.9,3.4,56,"male"
4,3,2.1,2.8,47,"female"
4.3,4,2.7,4.1,37,"male"
3.5,3.1,1.8,2.6,21,"male"
3.3,3,4,3,28,"female"
2.4,2.4,4,3.8,49,"female"
3.5,3,2.7,2.9,30,"male"
3.5,3.4,1.7,3.4,51,"female"
3.9,3.1,2.6,2.9,53,"female"
2.3,3.3,3.8,3.7,55,"female"
4.7,3.4,2.8,3.2,19,"female"
2,2.6,4.9,3.1,42,"female"
1.6,2.8,2.7,3.9,14,"female"
3.8,3.1,2.3,3.7,63,"female"
3.3,2.8,1.6,2.4,29,"female"
4.1,3,2.3,2.5,79,"male"
1.4,2.5,2.2,3.2,15,"female"
4.5,3.1,3.3,4,62,"female"
3.7,3.5,4,3.6,47,"female"
3.7,3,3,3.5,53,"female"
3.5,3.4,1.4,3.7,65,"female"
3.6,3.3,4.7,3.4,16,"female"
2.5,2.8,3.3,3.7,18,"male"
3.6,3.4,3.3,3.3,58,"male"
4.3,3.1,2.2,3,60,"female"
3.5,3.3,1.4,3.4,52,"female"
4.7,2.6,2.4,3.5,25,"female"
3.4,2.3,4.4,2.7,37,"male"
2.9,2.5,3.6,3.2,55,"female"
3.8,3.6,3.1,2.9,58,"female"
3.7,3.4,3.4,3,36,"female"
3.5,3.3,2.3,3.2,21,"male"
4.2,2.9,2.9,2.8,19,"female"
2.5,3.1,4,2.9,45,"female"
3.5,3,3.1,2.8,58,"female"
2.7,3.1,2,3.4,35,"female"
3,2.8,2,3.4,39,"female"
2.2,2.9,3.8,4.1,53,"male"
4.4,3.4,4.3,2.3,23,"male"
3.6,2.8,2.8,3.6,15,"female"
4.4,3.4,2.4,3.5,47,"male"
2.9,3.3,2.9,3.6,22,"female"
3.9,3.5,3.4,3.2,46,"female"
3.3,2.8,1.9,3.6,52,"male"
3.5,3.1,2.3,2.9,33,"male"
4.6,3.5,1.3,3.1,24,"female"
3,2.9,2.9,3.3,40,"male"
2.4,2.8,3.6,3.2,33,"female"
3.1,3.3,1.6,3.6,50,"male"
4.1,3.1,1.9,3.2,18,"male"
5,3.3,3.7,2.8,22,"male"
3.9,2.8,3.8,2.9,28,"male"
3.4,3.1,1.7,3.6,39,"male"
3.7,3.1,2.6,2.9,33,"male"
4.5,3.1,2.6,3.4,42,"female"
3.5,3,2.7,3.1,62,"female"
3.4,2.9,2.3,3.8,36,"male"
3.4,2.5,3.1,3.1,47,"male"
3.7,3.4,3.7,3.4,17,"female"
1.9,2.8,4.8,3.3,28,"female"
4,3.4,3.2,4.1,31,"female"
3.1,3.1,3,3,40,"male"
2,2.5,3,3.6,23,"male"
4.9,2.8,3.7,3.1,55,"female"
2.8,3.1,1.9,3.2,26,"male"
3.5,3.1,3.6,3.1,56,"male"
3,3,2.3,3.4,61,"male"
3.4,3,2.3,2.8,50,"male"
3.5,2.5,3.2,3.2,24,"male"
3,3.4,2.6,3.1,31,"male"
3.4,3,2.9,3.1,18,"female"
4,2.8,3.4,4.4,23,"female"
3.7,3.3,2.8,2.7,25,"male"
4.7,3.5,1.4,3.1,24,"male"
3,2.8,4.4,3.6,24,"female"
3.2,2.8,3.3,3.2,40,"male"
2.5,2.6,3.4,3.7,25,"male"
3.2,2.9,3.7,2.9,30,"male"
1.9,3.4,1.1,3.7,43,"male"
3.6,2.8,1.7,3.4,24,"male"
3.7,3.3,2.6,3,54,"female"
4.5,3.5,3.4,3.6,18,"female"
3.4,3,1.4,3.4,59,"female"
3.7,3.4,3.8,2.7,39,"male"
2.1,3,4.3,3,28,"female"
2.7,2.3,2.7,3.1,23,"female"
4.1,3.4,4.2,3.1,46,"male"
3.8,3.3,2,3,46,"male"
4.1,4,4.6,4.2,25,"female"
3.5,2.9,4.2,3.2,22,"female"
3.5,3.1,3.3,2.9,44,"female"
3.1,3.6,2.8,3.5,48,"male"
4.1,2.8,2.6,3,32,"male"
3.5,3,4.4,3.2,26,"female"
2.5,3.4,2.3,3.7,68,"male"
3.3,2.6,3.3,3.3,18,"male"
3.3,2.9,2.7,3.3,33,"male"
4,2.6,1.6,3.4,29,"female"
3.5,3.1,2.2,2.9,31,"male"
3.4,3,1.8,3.6,31,"female"
3.3,3.4,3.3,3.2,43,"male"
2.9,3,1.7,2.8,26,"female"
4.7,3.3,1.4,2.1,49,"male"
2.4,2.8,1.2,3,25,"male"
4.3,3,1.3,3.3,22,"male"
4.3,3.3,2.3,3.2,27,"male"
4.1,2.9,3.8,3.1,21,"female"
2.2,2.8,1.9,3.1,77,"male"
3.8,3.4,2.8,3.8,21,"male"
3.7,3.3,1.8,3.1,25,"female"
3.6,3.5,1.8,2.9,25,"female"
3.2,3,1.1,2.5,39,"male"
3.1,3.1,2.2,3.5,41,"male"
3,2.5,2.6,3.4,49,"male"
3.9,3.5,3.6,3.5,30,"male"
3.2,3.1,2.8,3.3,18,"female"
4.2,3.9,2.3,3.7,39,"female"
3.7,3.3,2.7,3.3,62,"male"
3,3,4.3,3.6,40,"male"
3.6,2.8,1.6,3.6,45,"female"
3.1,2.5,3.1,2.8,37,"female"
3.6,3.5,3.6,3.2,33,"female"
4.4,3.4,2.6,2.7,60,"male"
4.4,3.6,3.2,3.7,30,"male"
3.7,3,2,3.5,40,"female"
3.3,3.3,3.1,2.9,19,"male"
2.1,2.9,3.2,2.8,43,"female"
2.6,3.4,1.3,3.3,36,"female"
3.9,3.1,1.7,3.2,33,"male"
4.5,3.4,2.9,3,32,"male"
3.1,4,3.8,3.5,26,"female"
4.8,3.6,4.6,3.3,29,"male"
3.8,3.6,1.4,2.5,36,"male"
3.1,3,3.7,3,14,"female"
2.4,3.4,2.7,3.6,18,"female"
2.7,3.1,2.9,3.1,19,"male"
3.8,3.6,2.3,3.4,55,"female"
2.2,3,1,3.5,36,"male"
2.6,2.8,3.2,3.5,48,"male"
3.9,3.4,5,4.3,20,"female"
3.5,2.8,3.4,3.5,43,"female"
3,3.6,3.1,3.2,21,"male"
3.1,3.1,2.1,4,37,"male"
3,3.1,3.4,3.2,23,"female"
3.2,3,2.8,3.6,21,"female"
3.9,3.3,3.4,3.2,22,"male"
5,3.5,2.3,3,24,"male"
3.7,3.5,5,3.1,68,"female"
3.4,2.6,2.9,2.9,25,"male"
3.4,2.5,5,3.4,30,"male"
3.5,3.8,3.6,3.2,19,"female"
2.5,2.8,2.2,3.4,30,"male"
4.5,3.5,3.2,3.3,18,"female"
4.3,3.1,3.1,3.2,60,"male"
3.1,2.9,4.1,2.9,36,"male"
3.1,2.4,3.4,2.8,16,"male"
3.1,3.4,3,3.1,40,"female"
3.2,3.3,2.2,3.3,33,"female"
3,3,2.4,2.5,51,"female"
3.4,2.8,2.7,3.3,20,"male"
3.4,2.6,2.1,2.1,75,"female"
4.2,2.1,2.6,2.9,24,"female"
3.4,3.1,3.1,2.9,66,"female"
3.8,3.5,3,3.3,57,"female"
4,3.5,3.1,3.3,51,"male"
3.1,3.5,4.6,3.5,27,"male"
3.3,2.6,2.7,3.2,64,"male"
4.4,3.5,2.8,3.7,50,"female"
4.4,3.3,1.8,3,29,"male"
